"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 22:51:12 UTC","25070811612","Bestellung","304-7818878-6585958","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Verkäufer","Krefeld","","47807","","6,43","0","3,95","0","0","0","0","0","0","0","0","0","0","10,38"
"30.06.2025 23:39:47 UTC","25070811612","Bestellung","302-3150342-4317917","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Bautzen","","02625","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"01.07.2025 00:03:47 UTC","25070811612","Bestellung","303-9495047-5223531","TF3712_8","Zebra & Friends Tiara Rosalin Mittelalter - Für Kinder und Erwachsene - Haarband - Karnevalszubehör - Samt - Kopfbedeckung - Diadem - Haarreifen - S","1","amazon.de","Amazon","Plate/ Consrade","Mecklenburg Vorpommern","19086","","11,50","0","0","0","0","0","0","0","0","0","-3,33","0","0","8,17"
"01.07.2025 20:57:56 UTC","25070811612","Bestellung","304-8256803-7250703","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Mainz","","55118","","7,65","0","4,99","0","0","0","0","0","0","0","-7,17","0","0","5,47"
"01.07.2025 22:07:36 UTC","25070811612","Erstattung","305-9709812-3053154","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Rohrenfels","","86701","","-7,65","0","0","0","0","0","0","0","0","0","0","0","0","-7,65"
"01.07.2025 22:17:45 UTC","25070811612","Bestellung","302-9457515-2307523","3723","Zebra & Friends Ritter William Kettenhaube - Silberne Mittelalter Kopfbedeckung für Kinder, 100% Polyester - Perfekt für Ritter Kostüm Kinder & Fas","1","amazon.de","Amazon","Bautzen","","02625","","6,43","1,22","0","0","0","0","0","0","0","0","-2,00","0","0","5,65"
"01.07.2025 22:20:05 UTC","25070811612","Bestellung","302-3140727-3901912","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Ehekirchen","","86676","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"01.07.2025 22:40:19 UTC","25070811612","Bestellung","305-9709812-3053154","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Rohrenfels","","86701","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"02.07.2025 03:48:32 UTC","25070811612","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-175,38","0","-175,38"
"02.07.2025 10:44:21 UTC","25070811612","Bestellung","304-9413825-7901932","TF3712_5","Zebra & Friends Tiara Rosalin Mittelalter - Für Kinder und Erwachsene - Haarband - Karnevalszubehör - Samt - Kopfbedeckung - Diadem - Haarreifen - S","1","amazon.de","Verkäufer","Warendorf","","48231","","9,66","1,84","3,32","0,63","0","0","0","0","0","0","0","0","0","15,45"
"02.07.2025 16:34:30 UTC","25070811612","Bestellung","302-4891251-6879540","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Bidingen","","87651","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"02.07.2025 20:54:55 UTC","25070811612","Bestellung","303-2088210-7029102","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Erkelenz","","41812","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"02.07.2025 21:04:26 UTC","25070811612","Bestellung","302-9457515-2307523","3723","Zebra & Friends Ritter William Kettenhaube - Silberne Mittelalter Kopfbedeckung für Kinder, 100% Polyester - Perfekt für Ritter Kostüm Kinder & Fas","1","amazon.de","Amazon","Bautzen","","02625","","7,65","0","0","0","0","0","0","0","0","0","-2,01","0","0","5,64"
"02.07.2025 21:09:45 UTC","25070811612","Bestellung","306-4402522-1797163","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Northeim","Niedersachsen","37154","","7,65","0","0","0","0","0","0","0","0","0","-2,25","0","0","5,40"
"02.07.2025 21:25:57 UTC","25070811612","Bestellung","303-4209564-7502722","2520","Zebra & Friends Gartenschürze - Sonnenblumenschürze und Mutze - 82 x 64 cm - Kostüm für Erwachsene - 3D Sonnenblume - Mit Bauchtasche - Verkleidun","1","amazon.de","Amazon","Göttingen","Niedersachsen","37079","","16,95","0","0","0","0","0","0","0","0","0","-4,09","0","0","12,86"
"02.07.2025 22:11:20 UTC","25070811612","Bestellung","302-8234061-5998722","TF3712_8","Zebra & Friends Tiara Rosalin Mittelalter - Für Kinder und Erwachsene - Haarband - Karnevalszubehör - Samt - Kopfbedeckung - Diadem - Haarreifen - S","1","amazon.de","Amazon","Bünde","","32257","","9,66","1,84","0","0","0","0","0","0","0","0","-3,32","0","0","8,18"
