"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"21 mai 2025 21:35:59 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,49","-0,31","-1,80"
"22 mai 2025 12:38:48 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-13,38","-2,81","-16,19"
"22 mai 2025 19:49:58 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-29,33","-6,16","-35,49"
"23 mai 2025 22:29:13 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-55,30","-11,61","-66,91"
"25 mai 2025 08:40:00 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-114,41","-24,03","-138,44"
"27 mai 2025 16:47:35 UTC","24108858422","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-154,95","-32,54","-187,49"
"28 mai 2025 12:57:11 UTC","24108858442","Solde négatif","","","amzn1.cam.v1.sgid.24108858422","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","446,32","446,32"
"30 mai 2025 21:19:12 UTC","24108858442","Commande","408-9372518-2161163","341014","ProPlus 341014 Tête d'Attelage Ronde, 60 mm Metal","1","amazon.fr","Vendeur","St Clement Des Levees","","49350","","34,21","0","0","0","0","0","0","0","0","-6,21","0","-0,12","0","27,88"
"30 mai 2025 22:22:06 UTC","24108858442","Commande","406-3006834-0081935","341216V02","ProPlus Boule d'attelage de remorque argentée Double Version D21/S350","1","amazon.fr","Vendeur","Planchez","","58230","","64,04","0","0","0","0","0","0","0","0","-10,60","0","-0,22","0","53,22"
"30 mai 2025 22:28:02 UTC","24108858442","Commande","402-5188205-0365105","341520V02","ProPlus Béquille pivotante, extensible, pour remorque, caravane, pelleteuse, 2500 kg","1","amazon.fr","Vendeur","St Leger De Balson","","33113","","60,88","0","0","0","0","0","0","0","0","-10,26","0","-0,21","0","50,41"
"30 mai 2025 22:42:23 UTC","24108858442","Commande","171-0473361-4129928","340792","ProPlus 340792 Filet Couvre Remorque Maille Fine avec Cordon Élastique, 2,50 x 4,50 m Vert","1","amazon.fr","Vendeur","St jeannet","","06640","","52,59","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,06"
"31 mai 2025 21:53:07 UTC","24108858442","Commande","407-9011942-0379550","341042","ProPlus Attelage à Boule en Acier Rond 40/45/50 mm 2300 kg freiné","1","amazon.fr","Vendeur","Bazainville","Yvelines","78550","","53,82","0","0","0","0","0","0","0","0","-9,48","0","-0,19","0","44,15"
