"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.09.2025 13:41:07 UTC","25410883432","Bestellung","304-5669043-0945926","TAM87038","TAMIYA Plastikkleber extra dünn | Inhalt: 40ml #87038","1","amazon.de","Verkäufer","Hungen","","35410","","4,94","0","4,50","0","0","0","0","0","0","-1,49","0","0","0","7,95"
"02.09.2025 20:47:35 UTC","25410883432","Bestellung","302-0346421-6925921","JAM404960","JAMARA 404960 - Feuerwehr Drehleiter 1:20 Mercedes Antos 2,4G - deutsche Sirene mit blauen LED Signallichtern, 420 ml Wasserbehälter, Reale Spritzfun","1","amazon.de","Verkäufer","Bodman-ludwigshafen","","78351","","55,89","0","9,00","0","0","0","0","0","0","-11,77","0","0","0","53,12"
"02.09.2025 20:58:07 UTC","25410883432","Bestellung","028-0896646-3452321","REV05152","Revell 80-5152 05152 Spielzeug Modell - Schiff","1","amazon.de","Verkäufer","Kölln-Reisiek","Schleswig-Holstein","25337","","31,89","0","9,00","0","0","0","0","0","0","-7,42","0","0","0","33,47"
"02.09.2025 21:38:06 UTC","25410883432","Bestellung","306-0044057-3425147","JC50080","Jaegerndorfer JC50080 Netzteil ''230V 1:32 EU'', Mehrfarbig, 123","1","amazon.de","Verkäufer","Sinzig","","53489","","19,98","0","9,00","0","0","0","0","0","0","-5,26","0","0","0","23,72"
"02.09.2025 22:15:06 UTC","25410883432","Bestellung","303-0592156-6570747","TMT09814","Trumpeter 9814 - Vitrine 325 x 165 x 125 mm","5","amazon.de","Verkäufer","Trautmannsdorf an der Leitha","","2454","","95,00","0","17,10","0","0","0","0","0","0","-20,34","0","0","0","91,76"
"02.09.2025 22:26:31 UTC","25410883432","Bestellung","304-8888586-6656337","JC54100","Jaegerndorfer jaegerndorferjc54100 Sitzende Figuren (6-teilig), 2 cm","1","amazon.de","Verkäufer","Ramsau","","3172","","19,43","0","15,02","0","0","0","0","0","0","-6,25","0","0","0","28,20"
"02.09.2025 22:27:47 UTC","25410883432","Bestellung","028-8024448-3170707","REV01055","Revell Adventskalender James Bond Aston Martin DB5, James Bonds Auto in 24 Tagen zusammenbauen, Adventskalender für Jungen, Mädchen & Erwachsene ab","1","amazon.de","Verkäufer","Hamburg","","22393","","24,99","0","9,00","0","0","0","0","0","0","-6,17","0","0","0","27,82"
"02.09.2025 23:59:38 UTC","25410883432","Bestellung","303-2630451-3324313","REV04969","Revell Modellbausatz I H145 ADAC/REGA I Detailreicher Level 5 Hubschrauber Bausatz I 200 Teile I Maßstab 1:32 I für Kinder und Erwachsene ab 13 Jahr","1","amazon.de","Verkäufer","Fleckeby","","24357","","31,00","0","9,00","0","0","0","0","0","0","-7,26","0","0","0","32,74"
"03.09.2025 00:01:55 UTC","25410883432","Bestellung","303-4826096-1532347","REV01055","Revell Adventskalender James Bond Aston Martin DB5, James Bonds Auto in 24 Tagen zusammenbauen, Adventskalender für Jungen, Mädchen & Erwachsene ab","1","amazon.de","Verkäufer","Mössingen","Baden-Württemberg","72116","","24,99","0","9,00","0","0","0","0","0","0","-6,17","0","0","0","27,82"
"03.09.2025 10:55:47 UTC","25410883432","Bestellung","028-3001325-6233963","CAR20062561","Carrera - 20062561 - DHigh Speed I Digitale Rennbahn I Fahre das Rennauto des 2022er Champions I 63 Meter Strecke mit Rundenzähler und Turbo-Boost I","1","amazon.de","Verkäufer","Nonnweiler","","66620","","73,00","0","9,00","0","0","0","0","0","0","-14,89","0","0","0","67,11"
