"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"13.07.2025 19:55:29 UTC","25104097772","Erstattung","304-3913416-9201127","368300CT","Campout Aufblasbares Tunnelzelt - 455 x 270 cm - Familienzelt für 4 Personen - Abgedunkelte Schlafkabinen - TPU-Schläuche - Wasserdichtes Zelt - Bel","1","amazon.de","Verkäufer","Syke","","28857","","-369,00","0","0","0","0","0","0","0","0","60,92","0","0","0","-308,08"
"16.07.2025 19:04:48 UTC","25104097772","Bestellung","304-2121502-0930729","360853V04CT","Campout Campingtisch - 120 x 70 x 70 cm - Klappbarer Gartentisch - Campingtisch - Klapptisch - 6 Personen - 3-Fach Höhenverstellbar - Inklusive Griff","1","amazon.de","Verkäufer","Kleinaitingen","Bayern","86507","","149,00","0","0","0","0","0","0","0","0","-27,04","0","0","0","121,96"
"24.07.2025 07:22:25 UTC","25192816272","Übertrag","","","Für Konten mit folgenden Endziffern: 090","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-6.587,21","-6.587,21"
"24.07.2025 10:03:22 UTC","25192816272","Erstattung","305-1743820-0945148","368300CT","Campout Aufblasbares Tunnelzelt - 455 x 270 cm - Familienzelt für 4 Personen - Abgedunkelte Schlafkabinen - TPU-Schläuche - Wasserdichtes Zelt - Bel","1","amazon.de","Verkäufer","schwerin","","19055","","-369,00","0","0","0","0","0","0","0","0","60,92","0","0","0","-308,08"
"24.07.2025 18:36:48 UTC","25192816272","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-503,70","0","-503,70"
"27.07.2025 23:54:34 UTC","25192816272","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-502,82","0","-502,82"
"30.07.2025 19:51:44 UTC","25192816272","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-500,38","0","-500,38"
