"Comprend les transactions Amazon Marketplace, Expédié par Amazon et Boutique en ligne Amazon"
"Tous les montants sont en EUR, sauf indication contraire"
"Définitions :"
"Taxes de ventes prélevées : Inclut les taxes de vente prélevées auprès des acheteurs pour les ventes de produits, l’expédition et les emballages-cadeaux."
"Frais de vente : Comprend les frais de clôture estimés et les frais de vente."
"Autres frais de transaction : Comprend les rétrofacturations de l’expédition, les retenues sur l’expédition, les frais par article et les frais de recouvrement des taxes de vente."
"Autres : Inclut les montants des transactions non liées à une commande. Pour plus d’informations, consultez les colonnes « Type » et « Description » pour chaque numéro de commande."
"date/heure","Identifiant du paiement","type","Numéro de la commande","SKU","description","quantité","site de vente","expédition","ville de la commande","état de la commande","commande postale","ventes de produits","crédits d’expédition","crédits d’emballage-cadeau","Total des réductions","taxe de ventes prélevée","Taxe Marketplace Facilitator","frais de vente","Frais pour le service Expédié par Amazon","autres frais de transaction","autres","total"
"2 sept. 2025 04:22:30 UTC","25212991332","Frais de service","","","Coût de la publicité","","","","","","","0","0","0","0","0","0","0","0","-0,20","-0,04","-0,24"
"6 sept. 2025 13:17:44 UTC","25303757762","Dette","","","Cross-Account Debt Adjustment against DE","","","","","","","0","0","0","0","0","0","0","0","0","0,24","0,24"
"10 sept. 2025 18:16:16 UTC","25303757762","Commande","405-4093044-5976335","BLCCC01024WH","BE Living Essential Faitout avec Couvercle - Ø 24 cm - Revêtement Céramique Antiadhésif - Compatible Induction - Sans PTFE ni PFOA - Blanc","1","amazon.com.be","Amazon","Riemst","","3770","42,93","1,03","0","-1,03","9,02","0","-9,43","-7,59","0","0","34,93"
"21 sept. 2025 08:06:58 UTC","25561290832","Transférer","","","Au compte se terminant par : 326","","","","","","","0","0","0","0","0","0","0","0","0","-34,93","-34,93"
"21 sept. 2025 23:24:48 UTC","25561290832","Commande","406-6167608-4444333","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 32 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.com.be","Amazon","Heverlee","","3001","66,07","0","0","0","13,88","0","-14,50","-8,89","0","0","56,56"
"28 sept. 2025 22:53:49 UTC","25561290832","Remboursement","405-4093044-5976335","BLCCC01024WH","BE Living Essential Faitout avec Couvercle - Ø 24 cm - Revêtement Céramique Antiadhésif - Compatible Induction - Sans PTFE ni PFOA - Blanc","1","amazon.com.be","Amazon","Riemst","","3770","-42,93","-1,03","0","1,03","-9,02","0","7,54","0","0","0","-44,41"
