"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"2 set 2025 05:02:19 UTC","25402958272","Commissione di servizio","","","Costo della pubblicità","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-240,73","0","-240,73"
"2 set 2025 22:29:38 UTC","25402958272","Ordine","406-6200299-3441103","WCCC0095L32SG","Westinghouse PERFORMANCE SERIES Padella con coperchio, grande padella da 32 cm, per piani cottura a induzione e tutti i piani cottura, padella rivesti","1","amazon.it","Venditore","Vidigulfo","PV","27018","","63,89","14,06","0","0","0","0","0","0","0","-14,15","0","-0,28","0","63,52"
"3 set 2025 16:51:18 UTC","25402958272","Ordine","405-2554196-7864349","WCCC0095L28BL","Westinghouse PERFORMANCE SERIES Padella con coperchio, grande padella da 28 cm, per piani cottura a induzione e tutti i piani cottura, padella rivesti","1","amazon.it","Amazon","Cadelbosco di Sopra","Reggio nell'Emilia","42023","","55,70","12,25","0","0","0","0","0","0","0","-12,33","-8,12","-0,24","0","47,26"
"4 set 2025 06:40:33 UTC","25402958272","Ordine","407-5505301-0167562","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Padella con coperchio, grande padella da 32 cm, per piani cottura a induzione e tutti i piani cottura, padella rivesti","1","amazon.it","Amazon","Bastiglia","Modena","41030","","67,17","14,78","1,63","0,36","0","0","-1,63","-0,36","0","-14,87","-12,44","-0,30","0","54,34"
"7 set 2025 11:05:28 UTC","25402958272","Costo di stoccaggio Logistica di Amazon","","","Tariffa di stoccaggio di Logistica di Amazon","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-3,87","-3,87"
"8 set 2025 14:02:06 UTC","25491022432","Ordine","407-5241539-8923520","WCCC0095028SG","Westinghouse PERFORMANCE SERIES WCCC0095028SG - Pentola per cottura a induzione, adatta a tutti i piani cottura e al forno, incluso il supporto per ma","1","amazon.it","Amazon","Palermo","Palermo","90143","","64,71","14,24","0","0","0","0","0","0","0","-14,33","-8,77","-0,29","0","55,56"
"9 set 2025 08:22:05 UTC","25491022432","Trasferimento","","","Per il conto che termina con: 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-54,87","-54,87"
"10 set 2025 14:28:53 UTC","25491022432","Ordine","171-3617357-1025167","WCCC0095028BL","Westinghouse PERFORMANCE SERIES WCCC0095028BL - Pentola per cottura a induzione, adatta a tutti i piani cottura e al forno, incluso il supporto per ma","1","amazon.it","Venditore","Mondragone","Caserta","81034","","64,71","14,24","0","0","0","0","0","0","0","-14,32","0","-0,29","0","64,34"
"15 set 2025 23:18:06 UTC","25491022432","Ordine","171-1688246-1443540","WCFP0095G28SG","Westinghouse PERFORMANCE SERIES Padella grande 28 cm con manico in acciaio inox per induzione, grill e tutti i piani cottura, padella rivestita, adatt","1","amazon.it","Venditore","Padova","Padova","35128","","61,43","13,52","0","0","0","0","0","0","0","-13,60","0","-0,27","0","61,08"
"16 set 2025 23:11:39 UTC","25491022432","Ordine","406-7678940-2645923","WKTTB809RD","Westinghouse. Tostapane Retro WKTTB809RD Colore Rosso | Capacità per 4 fette | 5 configurazioni | Bronzo regolabile | Griglia di riscaldamento e vass","1","amazon.it","Amazon","Leinì","To","10040","","82,75","18,20","0","0","0","0","0","0","0","-18,32","-9,73","-0,36","0","72,54"
"23 set 2025 08:21:57 UTC","25572913832","Trasferimento","","","Per il conto che termina con: 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-253,52","-253,52"
