"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"17 sept. 2025 00:10:56 UTC","25462829012","Commande","404-3717645-4904361","361722CT","Campout Sangle Anti-tempête pour auvent Thule Omnistor -Sangles élastiques - Résistant aux intempéries - avec piquets en Acier - 2 Ressorts de Ten","1","amazon.fr","Vendeur","Arzon","","56640","","30,75","0","0","0","0","0","0","0","0","-5,58","0","-0,11","0","25,06"
"17 sept. 2025 13:29:03 UTC","25543953872","Commande","404-1661449-6409105","361515","ProPlus Vérin stabilisateur - Support pivotant - Support relevable - Pied d'appui - Support pour Caravane - Capacité de Charge 1000 kg - 605 x 280 m","1","amazon.fr","Vendeur","Touillon-et-Loutelet","","25370","","64,46","0","0","0","0","0","0","0","0","-10,65","0","-0,22","0","53,59"
"17 sept. 2025 15:33:05 UTC","25543953872","Commande","403-6185592-7343533","610693CT","Campout Kit de Tapis isolants pour Renault Master à partir de 1998-04-2010 - Film Anti-Regards pour vitres - Film Isolant pour vitres - matériau 7 C","1","amazon.fr","Vendeur","Pompignan","","82170","","64,97","0","0","0","0","0","0","0","0","-10,70","0","-0,21","0","54,06"
"17 sept. 2025 21:16:10 UTC","25543953872","Commande","404-8551097-6661942","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Le Bourdet","","79210","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
"17 sept. 2025 22:09:12 UTC","25543953872","Commande","406-5266473-4112353","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","LE PRADET","","83220","","52,56","0","0","0","0","0","0","0","0","-9,36","0","-0,19","0","43,01"
"17 sept. 2025 23:07:26 UTC","25543953872","Commande","408-5032429-3960319","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Quistinic","","56310","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
"18 sept. 2025 07:22:03 UTC","25543953872","Transfert","","","Sur le compte se terminant par : 090","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-3 168,10","-3 168,10"
"18 sept. 2025 13:42:24 UTC","25543953872","Commande","403-5321175-3745111","610272CT","Campout Bâche de Protection pour Toit de Caravane et Camping-Car - 5 x 3 m - Housses pour Camping-Cars - Bâche de Toit - Housse pour Caravane - Non-","1","amazon.fr","Vendeur","Saint-Georges-de-Pointindoux","","85150","","93,94","0","0","0","0","0","0","0","0","-13,86","0","-0,28","0","79,80"
"18 sept. 2025 19:53:01 UTC","25543953872","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-515,34","0","-515,34"
"18 sept. 2025 22:51:29 UTC","25543953872","Commande","405-0499599-8710725","361515","ProPlus Vérin stabilisateur - Support pivotant - Support relevable - Pied d'appui - Support pour Caravane - Capacité de Charge 1000 kg - 605 x 280 m","1","amazon.fr","Vendeur","Les Herbiers","","85500","","64,46","0","0","0","0","0","0","0","0","-10,64","0","-0,21","0","53,61"
