"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.09.2025 22:17:16 UTC","25367375072","Bestellung","028-7412476-5014748","MAXI5075","Hofman Maximus Power Play Ball - Spielzeug für Pferde - Gelb - 75 cm","1","amazon.de","Verkäufer","Dillenburg","","35683","","24,50","4,66","0","0","0","0","0","0","0","-5,29","0","0","0","23,87"
"01.09.2025 22:39:41 UTC","25367375072","Bestellung","304-5896228-2917915","LEVE001000","Holland Animal Care Excellent Lebertran - Zur Unterstützung der Widerstandskraft, des Wachstums und der Entwicklung sowie der Pflege des Fells - Für","1","amazon.de","Amazon","Cottbus","","03055","","20,29","3,86","0","0","0","0","0","0","0","-4,38","-4,87","0","0","14,90"
"01.09.2025 22:54:31 UTC","25367375072","Bestellung","028-4737664-5362727","EATS005","Eat Slow Live Longer Original L/XL - Ø30 cm - Slow Feeder Hund - Antischlingnapf Hunde groß - Hundenapf - Slowfeeder für Hunde - rutschfest - Antis","1","amazon.de","Amazon","Ebertsheim","Rheinland Pfalz","67280","","16,76","3,19","0","0","0","0","0","0","0","-3,61","-6,01","0","0","10,33"
"01.09.2025 23:36:24 UTC","25367375072","Bestellung","028-7270956-3107524","KNOC00027","Knock Pest Control - Vogelscheuche - Drachen - Vogelabwehr - Komplettset - 7 Meter - Vogelscheuche - Vogelabwehr Greifvogeldrachen gegen Gänse, Möwe","1","amazon.de","Verkäufer","Großwallstadt","","63868","","67,18","12,77","0","0","0","0","0","0","0","-14,51","0","0","0","65,44"
"01.09.2025 23:46:27 UTC","25367375072","Erstattung","028-7412476-5014748","MAXI5075","Hofman Maximus Power Play Ball - Spielzeug für Pferde - Gelb - 75 cm","1","amazon.de","Verkäufer","Dillenburg","","35683","","-24,50","-4,66","0","0","0","0","0","0","0","4,24","0","0","0","-24,92"
"01.09.2025 23:51:10 UTC","25367375072","Bestellung","302-0454879-6676308","DENT015","Excellent Dental Oral Care - Geeignet für Hund und Katze - Kapseln - Zahnpflege für Tiere - Mundgesundheit - 140 Gramm","1","amazon.de","Amazon","Uelzen","","29525","","14,24","2,71","0","0","0","0","0","0","0","-3,08","-13,93","0","0","-0,06"
"02.09.2025 03:48:19 UTC","25367375072","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-164,77","0","-164,77"
"02.09.2025 11:13:12 UTC","25367375072","Versanddienstleistungen","303-6173212-4964356","","Rechnung für den Ruckversand","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-10,29","-10,29"
"02.09.2025 14:04:17 UTC","25367375072","Bestellung","306-3508776-5413139","HOOI018M06","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Quirnheim","","67280","","21,82","4,15","0","0","0","0","0","0","0","-4,72","-5,70","0","0","15,55"
"02.09.2025 15:28:51 UTC","25367375072","Bestellung","303-3257903-9146730","DUOD0500","Duo Dog geschmolzenes Pferdefett - 0,5 Liter","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50827","","18,73","3,56","0","0","0","0","0","0","0","-4,05","-4,44","0","0","13,80"
"02.09.2025 16:02:25 UTC","25367375072","Bestellung","306-8376298-2001920","DOGG0270","Excellent Doggy Parex 270 gr - Darmgesundheit für Hunde - Gute Darmflora - Für die Verdauung - Hundefutterzusatz","1","amazon.de","Amazon","Schwalmtal","","41366","","20,30","3,86","0","0","0","0","0","0","0","-4,38","-4,11","0","0","15,67"
"02.09.2025 19:42:58 UTC","25367375072","Bestellung","306-6207105-5729903","HOOI018M06","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Wölsendorf","","92548","","21,99","4,18","1,12","0,21","0","0","-1,12","-0,21","0","-4,75","-5,70","0","0","15,72"
"02.09.2025 21:00:03 UTC","25367375072","Bestellung","306-8811066-9290741","HOOI018M04","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Erkrath","Nordrhein-Westfalen","40699","","22,48","4,27","0","0","0","0","0","0","0","-4,85","-6,02","0","0","15,88"
"02.09.2025 21:06:35 UTC","25367375072","Bestellung","305-6647857-3053105","ROYA0036","Royal Dry Bademantel Hund XL - Rückenlänge 70-80 cm - Hundehandtuch - Mikrofase - Hundebademantel für große Hunde - Schnell Trocknendes mit Klettv","1","amazon.de","Amazon","Blomberg","NRW","32825","","24,18","4,60","0","0","0","0","0","0","0","-5,22","-5,19","0","0","18,37"
