"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal"
"2 sep 2025 09:36:13 UTC","25449465472","Overboeking","","","Naar bankrekening die eindigt met: 319","","","","","","","0","0","0","0","0","0","0","0","0","-258,67","-258,67"
"2 sep 2025 16:50:01 UTC","25449465472","Bestelling","404-7351728-7301102","EXCE5073","Holland Animal Care Excellent Pets Bijpropolis- en honingzalf, 150 ml, hondenzalf, voedende zalf, ondersteunt het herstelvermogen van de huid, voor ho","1","amazon.nl","Verkoper","Rijswijk","Zuid-Holland","2286","24,75","0","0","0","5,20","0","-5,44","0","0","0","24,51"
"3 sep 2025 17:32:12 UTC","25449465472","Bestelling","405-8946212-2201151","KNOC0200","Knock Pest Control Treat Pellets - 200 g - Lokaas voor muizen en ratten - Voor een Lokdoos - Aas - Niet-giftige muizenval - Veilig voor Huisdieren","1","amazon.nl","Verkoper","Enschede","","7512","23,10","0","0","0","4,85","0","-5,07","0","0","0","22,88"
"9 sep 2025 12:13:40 UTC","25449465472","Terugbetaling","171-2544289-5430757","GLAN44975","Glandex Poeder met zalmsmaak 114gr","1","amazon.nl","Verkoper","Amsterdam","","1061","-39,63","0","0","0","-8,32","0","6,96","0","0","0","-40,99"
"9 sep 2025 22:00:23 UTC","25449465472","Bestelling","403-8497783-8800338","COZY001D","Cozy Dog Bunny Hondenknuffel - Puppy Knuffel met Hartslag - Hartslag knuffel voor hond - Hondenspeelgoed - Tegen Verlatingsangst (Taupe)","1","amazon.nl","Amazon","Rijnsburg","Zuid Holland","2231","21,45","1,23","0","-1,23","4,50","0","-4,71","-5,83","0","0","15,41"
"12 sep 2025 22:24:08 UTC","25449465472","Bestelling","408-8169306-7638707","SPIN005","Impressed Web free concentraat 1 liter","1","amazon.nl","Verkoper","Bloemendaal","","2061","32,19","0","0","0","6,76","0","-7,06","0","0","0","31,89"
"16 sep 2025 09:17:17 UTC","25532881352","Overboeking","","","Naar bankrekening die eindigt met: 319","","","","","","","0","0","0","0","0","0","0","0","0","-53,70","-53,70"
"17 sep 2025 18:30:06 UTC","25532881352","Bestelling","406-5152320-3225910","PAWI28936","High-back Litter pan 61x45x25cm","1","amazon.nl","Verkoper","DELFT","","2624","25,58","0","0","0","5,37","0","-5,62","0","0","0","25,33"
"19 sep 2025 21:29:24 UTC","25532881352","Bestelling","403-8202846-7041960","DREN0110","Drench-gun 300 ml compleet","1","amazon.nl","Amazon","OOST WEST EN MIDDELBEERS","NB","5091","26,74","0","0","0","5,62","0","-5,87","-4,19","0","0","22,30"
"30 sep 2025 07:41:53 UTC","25623765202","Bestelling","407-3785216-5796321","YEOW044C","Yeowww! Mo Betta Vis Kattenspeelgoed - gevuld met 100% biologisch Amerikaans kattenkruid - duurzaam visvormig kattenkruid speelgoed voor katten en kit","1","amazon.nl","Verkoper","UITGEEST","","1911","19,79","0","0","0","4,16","0","-4,34","0","0","0","19,61"
"30 sep 2025 09:18:26 UTC","25623765202","Overboeking","","","Naar bankrekening die eindigt met: 319","","","","","","","0","0","0","0","0","0","0","0","0","-47,63","-47,63"
