"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.08.2025 22:06:36 UTC","25192808292","Bestellung","028-1287999-2206710","NOST002","Holland Animal Care - No Stress Hund und Katze - Beruhigungsmittel für Hunde - entspannungs- & Anti-Stress-mittel für Hunde - 1er Pack (1 x 10 ml)","2","amazon.de","Amazon","Offenburg","","77654","","24,70","4,70","0","0","0","0","0","0","0","-5,35","-7,36","0","0","16,69"
"01.08.2025 22:11:19 UTC","25192808292","Bestellung","305-0996894-4609145","EXCE03001","Holland Animal Care Excellent Horse Sniffing Mat 50 x 50 cm - Pferdespielzeug und Fütterungsmatte - Schnüffelmatte für Pferde gegen Langeweile - Ge","1","amazon.de","Verkäufer","Lemgo","","32657","","29,61","5,62","0","0","0","0","0","0","0","-6,38","0","0","0","28,85"
"01.08.2025 22:14:11 UTC","25192808292","Bestellung","306-5889210-7930716","DOGM0755","Holland Animal Care Excellent Dog Mobility Plus - 750 Gramm - Hunde Vitamine - Gelenktabletten Hund - Zur Unterstützung der Sehnen, Knorpel, Bänder","1","amazon.de","Amazon","Heppenheim (Bergstraße)","Hessen","64646","","42,67","8,11","0","0","0","0","0","0","0","-9,23","-4,44","0","0","37,11"
"01.08.2025 22:21:30 UTC","25192808292","Bestellung","304-1778353-3434754","COOL081","CoolPets Sunblock Creme SPF 30+ - Sonnencreme für Tiere - Sonnenschutz hunde - Sonnencreme katze - Hautpflege für Tiere - 24-Stunden-Schutz - 150 gr","1","amazon.de","Amazon","Bad Münstereifel","Nordrhein-Westfalen","53902","","17,29","3,28","0","0","0","0","0","0","0","-3,74","-3,68","0","0","13,15"
"01.08.2025 23:19:25 UTC","25192808292","Bestellung","304-9345266-0061154","HOOI018M02","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Eschbronn","","78664","","21,66","4,11","0","0","0","0","0","0","0","-4,68","-5,70","0","0","15,39"
"01.08.2025 23:23:30 UTC","25192808292","Bestellung","305-8636371-2535502","NOST001","Excellent No Stress Pasta Horse - Zur Unterstützung bei Stress und Anspannung - Geeignet für Pferde - 1 Dosis","5","amazon.de","Amazon","Patersdorf","","94265","","80,00","15,20","0","0","0","0","-4,01","-0,75","0","-16,39","-20,69","0","0","53,36"
"02.08.2025 00:15:54 UTC","25192808292","Bestellung","304-2704839-8607523","KALF0012D","Kerbl 1483 Ersatzsonde für Speedy Drencher mit Deckel","1","amazon.de","Verkäufer","Au am Inn","","83546","","26,40","5,02","0","0","0","0","0","0","0","-5,70","0","0","0","25,72"
"02.08.2025 04:23:10 UTC","25192808292","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-170,56","0","-170,56"
"02.08.2025 06:21:03 UTC","25192808292","Bestellung","028-7511087-6946737","DIRE013","Direct Kalzium-Bolus","1","amazon.de","Verkäufer","Borken (Hessen)","Hessen","34582","","47,61","9,05","0","0","0","0","0","0","0","-10,28","0","0","0","46,38"
"02.08.2025 07:33:22 UTC","25192808292","Bestellung","306-7795103-1583501","KNOC0050","Knock Off Treat Pellets - Für Mäuse und Ratten - Köder für Mäuse und Ratten - Köder - Giftfrei - Sicher für Haustiere - Für Köderbox - 50 g","1","amazon.de","Verkäufer","Ilsede","Niedersachsen","31246","","23,49","4,46","0","0","0","0","0","0","0","-5,07","0","0","0","22,88"
"02.08.2025 11:10:03 UTC","25192808292","Commingling VAT","20281657362","B08TJ5HXSL","h2go AquaTrans Wassersack 80 Liter","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2,82","2,82"
"02.08.2025 11:10:06 UTC","25192808292","Commingling VAT","20281657362","B08TJ5HXSL","h2go AquaTrans Wassersack 80 Liter","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,82","-2,82"
"02.08.2025 13:24:14 UTC","25192808292","Anpassung","","URIN0015","Versand durch Amazon Erstattung für Lagerbestand - Im Lager verloren","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2,54","2,54"
"02.08.2025 14:15:22 UTC","25192808292","Bestellung","028-5267229-4914708","MAXI5075","Hofman Maximus Power Play Ball - Spielzeug für Pferde - Gelb - 75 cm","1","amazon.de","Amazon","Königswinter","","53639","","24,59","4,67","0","0","0","0","0","0","0","-5,31","-13,93","0","0","10,02"
"02.08.2025 21:03:59 UTC","25192808292","Bestellung","305-9634804-3267533","ROYA0034","Royal Dry Hundebademantel L - Rückenlänge 60-68 cm - Mikrofaser - Für mittelgroße Hunde - Schnelltrocknend mit Klettverschluss - Grau","1","amazon.de","Amazon","Feldafing","","82340","","21,91","4,16","1,68","0,32","0","0","-1,68","-0,32","0","-4,74","-5,19","0","0","16,14"
"02.08.2025 21:41:29 UTC","25192808292","Bestellung","028-2840609-3114720","LEVE001000","Holland Animal Care Excellent Lebertran - Zur Unterstützung der Widerstandskraft, des Wachstums und der Entwicklung sowie der Pflege des Fells - Für","1","amazon.de","Amazon","Schwarzach","Baden-Württemberg","74869","","20,13","3,83","0","0","0","0","0","0","0","-4,34","-4,88","0","0","14,74"
"02.08.2025 21:42:19 UTC","25192808292","Bestellung","304-3836229-3937160","FENE1000E","Excellent Zubehör für die Gesundheitspflege Fenugreek (Fenegriek) Bucket","1","amazon.de","Amazon","Heinsberg","Nordrhein-Westfalen","52525","","17,82","3,39","0","0","0","0","0","0","0","-3,85","-3,10","0","0","14,26"
