"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"31 juil. 2025 23:54:30 UTC","25297568112","Commande","408-2853522-2334702","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Île dyeu","Vendée","85350","","14,12","2,83","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"1 août 2025 10:11:20 UTC","25297568112","Solde négatif","","","Cross-Account Debt Adjustment for NL","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-9,48","-9,48"
"1 août 2025 21:50:26 UTC","25297568112","Commande","171-0760883-6246713","49-3LA0-NJM6","Zebra & Friends Cagoule de Chevalier William - Coiffe médiévale argentée pour enfants, 100% polyester - L'accessoire parfait pour les petits cheval","1","amazon.fr","Amazon","Issy les moulineaux","","92130","","11,45","0","0","0","0","0","0","0","0","0","-6,24","-0,12","0","5,09"
"1 août 2025 22:19:08 UTC","25297568112","Commande","408-2124890-0771533","49-3LA0-NJM6","Zebra & Friends Cagoule de Chevalier William - Coiffe médiévale argentée pour enfants, 100% polyester - L'accessoire parfait pour les petits cheval","1","amazon.fr","Amazon","Aubervilliers","","93300","","11,45","0","0","0","0","0","0","0","0","0","-6,24","-0,13","0","5,08"
"1 août 2025 22:19:08 UTC","25297568112","Commande","408-2124890-0771533","49-3LA0-NJM6","Zebra & Friends Cagoule de Chevalier William - Coiffe médiévale argentée pour enfants, 100% polyester - L'accessoire parfait pour les petits cheval","1","amazon.fr","Amazon","Aubervilliers","","93300","","11,45","0","0","0","0","0","0","0","0","0","-6,25","-0,12","0","5,08"
"2 août 2025 04:15:52 UTC","25297568112","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-24,49","0","-24,49"
"2 août 2025 12:25:56 UTC","25297568112","Commande","406-9122888-6299504","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","mars","","42750","","14,12","2,83","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"3 août 2025 00:16:32 UTC","25297568112","Remboursement","406-9122888-6299504","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","mars","","42750","","-14,12","-2,83","0","0","0","0","0","0","0","0","0","0","0","-16,95"
"5 août 2025 23:01:06 UTC","25297568112","Commande","407-3020347-5633925","TF3712_4","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Villard d'hery","Savoie","73800","","16,95","0","1,99","0","0","0","-1,99","0","0","0","-7,34","-0,15","0","9,46"
"6 août 2025 00:17:57 UTC","25297568112","Commande","403-1028273-6106758","3725_2","Zebra & Friends - Chapeau médiéval élégant orné de plumes d'autruche - Coiffe historique en suédine - Parfait pour carnaval, fêtes médiévales","1","amazon.fr","Amazon","Roche St Secret","","26770","","10,79","2,16","0","0","0","0","0","0","0","0","-6,65","-0,13","0","6,17"
"6 août 2025 16:15:35 UTC","25297568112","Commande","407-1876222-7251527","TF3712_4","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","La Madeleine","","59110","","16,95","0","0,57","0","0","0","-0,57","0","0","0","-7,33","-0,15","0","9,47"
"6 août 2025 16:15:35 UTC","25297568112","Commande","407-1876222-7251527","TF3712_2","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","La Madeleine","","59110","","16,95","0","0,57","0","0","0","-0,57","0","0","0","-7,34","-0,14","0","9,47"
"6 août 2025 19:01:10 UTC","25297568112","Remboursement","405-4950218-3201918","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Plouarzel","","29810","","-14,12","-2,83","0","0","0","0","0","0","0","0","0","0","0","-16,95"
"8 août 2025 09:28:27 UTC","25297568112","Solde négatif","","","Cross-Account Debt Adjustment for DE","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,91","-0,91"
"8 août 2025 19:34:03 UTC","25297568112","Remboursement","402-9808254-8583565","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Bobital","","22100","","-14,12","-2,83","-1,67","-0,33","0","0","1,67","0,33","0","0","0","0","0","-16,95"
"11 août 2025 06:59:50 UTC","25311671152","Solde négatif","","","Cross-Account Debt Adjustment against DE","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","16,95","16,95"
"12 août 2025 23:17:38 UTC","25311671152","Commande","402-7696210-9823529","TF3712_6","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Bussy St Georges","","77600","","16,95","0","0","0","0","0","0","0","0","0","-7,34","-0,14","0","9,47"
"12 août 2025 23:17:38 UTC","25311671152","Commande","402-7696210-9823529","TF3712_2","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Bussy St Georges","","77600","","16,95","0","0","0","0","0","0","0","0","0","-7,33","-0,15","0","9,47"
"14 août 2025 08:01:21 UTC","25311671152","Solde négatif","","","Cross-Account Debt Adjustment for DE","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-9,55","-9,55"
"14 août 2025 19:46:57 UTC","25311671152","Commande","402-0300644-1018750","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Gujan-Mestras","","33470","","14,12","2,83","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"14 août 2025 20:51:40 UTC","25311671152","Commande","171-9361323-3295504","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","St Just St Rambert","","42170","","16,95","0","0","0","0","0","0","0","0","0","-7,34","-0,15","0","9,46"
