"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"31 mai 2025 22:01:15 UTC","24108858442","Commande","408-1985411-8785937","520204","ProPlus Poteau de Stationnement avec Serrure Poteau de Parking Privée avec 1 Cadenas et 3 Clés Durable Robuste Voiture Véhicule Extérieur","2","amazon.fr","Vendeur","Thonon-les-Bains","","74200","","90,94","0","0","0","0","0","0","0","0","-14,31","0","-0,30","0","76,33"
"31 mai 2025 22:19:04 UTC","24108858442","Commande","407-0419671-5331567","340774","ProPlus 340774 Filet Couvre Remorque Maille Fine avec Cordon Élastique, 2 x 3 m Vert","1","amazon.fr","Vendeur","Grimault","","89310","","39,55","0","0","0","0","0","0","0","0","-7,17","0","-0,14","0","32,24"
"2 juin 2025 04:36:21 UTC","24108858442","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-245,44","-51,54","-296,98"
"2 juin 2025 08:09:56 UTC","24108858442","Commande","408-2234432-4344344","341300V02","ProPlus Jeu de mâchoires de Frein pour AL-KO 1635/1636/1637 160 x 35 mm","1","amazon.fr","Vendeur","Chenoise","","77160","","35,11","0","0","0","0","0","0","0","0","-6,38","0","-0,13","0","28,60"
"3 juin 2025 20:27:00 UTC","24108858442","Commande","402-5759587-3451565","341300V01","ProPlus Jeu de mâchoires de Frein 200 x 50 mm pour AL-KO","2","amazon.fr","Vendeur","vatteville la rue","","76940","","75,68","0","0","0","0","0","0","0","0","-13,75","0","-0,28","0","61,65"
"4 juin 2025 23:49:38 UTC","24108858442","Commande","171-3911990-0819557","340792","ProPlus 340792 Filet Couvre Remorque Maille Fine avec Cordon Élastique, 2,50 x 4,50 m Vert","1","amazon.fr","Vendeur","Ingenheim","","67270","","52,59","0","0","0","0","0","0","0","0","-9,36","0","-0,19","0","43,04"
"6 juin 2025 20:56:20 UTC","24108858442","Commande","403-6202399-4885101","360239V02","Purpleline Ciseau Kojack","1","amazon.fr","Vendeur","HENDECOURT LES RANSART","","62175","","77,67","0","0","0","0","0","0","0","0","-12,09","0","-0,25","0","65,33"
"6 juin 2025 21:36:20 UTC","24108858442","Commande","403-5569913-0689943","343649","ProPlus 343649 Grille de protection pour feu arrière en fer 80 mm x 140 mm x 105 mm","2","amazon.fr","Vendeur","la fleche","","72200","","52,36","0","0","0","0","0","0","0","0","-9,51","0","-0,19","0","42,66"
"6 juin 2025 21:56:32 UTC","24108858442","Commande","402-3166340-5394749","758064","PRO PLUS Adaptateur magnétique pour auvent","1","amazon.fr","Vendeur","Plomodiern","","29550","","48,74","0","0","0","0","0","0","0","0","-8,84","0","-0,18","0","39,72"
"6 juin 2025 22:10:49 UTC","24108858442","Commande","171-5965843-8449129","330242BL","ProPlus Timon Porte-vélos Noir","1","amazon.fr","Vendeur","Caussade","","82300","","116,55","0","0","0","0","0","0","0","0","-16,33","0","-0,33","0","99,89"
