"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.08.2025 22:35:04 UTC","25224486452","Bestellung","306-6882289-7258762","WKCMR621PK","Westinghouse Kaffeemaschine Retro-Design, Filterkaffeemaschine für bis zu 10 Tassen, Permanentfilter, Glaskanne, Tropfschutzsystem, Warmhaltefunktion","1","amazon.de","Verkäufer","Perl","","66706","","74,75","14,20","0","0","0","0","0","0","0","-16,14","0","0","0","72,81"
"01.08.2025 23:38:04 UTC","25224486452","Bestellung","306-1582091-4696311","WCFP0009028MBB","Westinghouse Black Marble Bratpfanne 28cm, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeigneter Pfannenboden, Silik","1","amazon.de","Amazon","Fürstenzell","","94081","","31,89","6,06","0","0","0","0","0","0","0","-6,88","-6,33","0","0","24,74"
"01.08.2025 23:58:57 UTC","25224486452","Bestellung","303-2290260-4433140","WCCC0095L32SG","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Solingen","","42657","","51,22","9,73","0","0","0","0","0","0","0","-11,05","-6,04","0","0","43,86"
"01.08.2025 23:59:10 UTC","25224486452","Erstattung","304-7319174-3714756","BLCSET2001BK","Be Living Delight Pfannenset 2-teilig, Bratpfanne 24 & 28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Sulgen","","85","MarketplaceFacilitator","-29,37","-2,38","-1,61","-0,13","0","0","1,61","0,13","2,38","5,07","0","0","0","-24,30"
"02.08.2025 00:15:24 UTC","25224486452","Bestellung","028-7337112-2725117","WCCC0095L32SG","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Niedernberg","","63843","","51,22","9,73","0","0","0","0","0","0","0","-11,06","-6,04","0","0","43,85"
"02.08.2025 03:14:49 UTC","25224486452","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-161,76","0","-161,76"
"02.08.2025 07:53:43 UTC","25224486452","Bestellung","304-3609693-2870711","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Albstadt","","72458","","52,06","9,89","1,68","0,32","0","0","-1,68","-0,32","0","-11,24","-6,68","0","0","44,03"
"02.08.2025 20:51:26 UTC","25224486452","Bestellung","303-4313820-5316313","BLCCC01024GR","Be Living Essential Kochtopf mit Deckel - Ø 24 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Grau","1","amazon.de","Amazon","Möhrendorf","Bayern","91096","","29,37","5,58","0","0","0","0","0","0","0","-6,34","-5,98","0","0","22,63"
"02.08.2025 21:07:09 UTC","25224486452","Bestellung","305-5079061-2151523","WCFP0095G28OR","Westinghouse PERFORMANCE SERIES Grillpfanne, Große Bratpfanne 28 cm mit Edelstahl-Griff für Induktion, Grill & alle Herdarten, Beschichtete Pfanne,","1","amazon.de","Amazon","Karlstadt","Bayern","97753","","36,93","7,02","0","0","0","0","0","0","0","-7,98","-6,04","0","0","29,93"
"02.08.2025 23:25:31 UTC","25224486452","Bestellung","303-9479336-7528364","WCCC0009L28MBB","Westinghouse Schmorpfanne 28cm mit Glasdeckel, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Griffe mit Silik","1","amazon.de","Amazon","Spiesen-Elversberg","Saarland","66583","","41,97","7,98","0","0","0","0","0","0","0","-9,06","-5,98","0","0","34,91"
