"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"17 juil. 2025 16:37:14 UTC","25216314652","Commande","407-9789730-1813942","TF3712_2","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Gennevilliers","","92230","","16,95","0","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"17 juil. 2025 18:05:53 UTC","25216314652","Ajustement","406-5510579-3178725","TF3712_8","Remboursement Stock Expédié par Amazon - Retour Client","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","8,84","8,84"
"18 juil. 2025 16:08:37 UTC","25227673422","Commande","407-5859382-2817920","TF3712_4","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Theza","","66200","","14,12","2,83","0","0","0","0","0","0","0","0","-7,34","-0,15","0","9,46"
"18 juil. 2025 22:40:25 UTC","25227673422","Commande","407-2941007-7071533","TF3712_3","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Gennevilliers","","92230","","16,95","0","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"18 juil. 2025 22:40:25 UTC","25227673422","Commande","407-2941007-7071533","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Gennevilliers","","92230","","16,95","0","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"19 juil. 2025 01:42:10 UTC","25227673422","Transfert","","","Sur le compte se terminant par : 952","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-27,80","-27,80"
"20 juil. 2025 00:03:41 UTC","25251320602","Commande","402-2307784-0078756","TF3712_8","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Vendeur","SAINT FERGEUX","","08360","","14,12","2,83","5,79","1,16","0","0","0","0","0","0","0","0","0","23,90"
"20 juil. 2025 03:07:31 UTC","25251320602","Transfert","","","Sur le compte se terminant par : 952","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-28,42","-28,42"
"22 juil. 2025 02:52:42 UTC","25258854132","Transfert","","","Sur le compte se terminant par : 952","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-23,90","-23,90"
"23 juil. 2025 23:19:37 UTC","25258854132","Commande","403-9190588-3045940","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","St Nicolas De Port","","54210","","16,95","0","0","0","0","0","0","0","0","0","-8,07","-0,16","0","8,72"
"24 juil. 2025 23:06:51 UTC","25258854132","Commande","406-6505002-4193159","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","PEZENAS","","34120","","16,95","0","1,00","0","0","0","-1,00","0","0","0","-7,34","-0,15","0","9,46"
"25 juil. 2025 22:13:21 UTC","25268630462","Commande","171-3857108-1797164","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","la faurie","","05140","","14,12","2,83","0","0","0","0","0","0","0","0","-8,07","-0,16","0","8,72"
"25 juil. 2025 23:14:06 UTC","25268630462","Commande","408-6843484-2193126","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","VERNOY","","89150","","16,95","0","0","0","0","0","0","0","0","0","-8,07","-0,15","0","8,73"
"26 juil. 2025 04:02:04 UTC","25268630462","Transfert","","","Sur le compte se terminant par : 952","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-18,18","-18,18"
"26 juil. 2025 21:19:20 UTC","25268630462","Commande","402-9808254-8583565","TF3712_7","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Bobital","","22100","","14,12","2,83","1,67","0,33","0","0","-1,67","-0,33","0","0","-8,07","-0,16","0","8,72"
"29 juil. 2025 01:42:51 UTC","25297568112","Transfert","","","Sur le compte se terminant par : 952","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-26,17","-26,17"
