"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"30 juin 2025 22:50:14 UTC","25016908932","Commande","171-1996046-8337957","361508","Support de remorque pour caravane, caravane (500 kg, 460 x 195 mm, hauteur : 440 mm)","2","amazon.fr","Vendeur","Elne","","66200","","90,96","0","0","0","0","0","0","0","0","-16,50","0","-0,33","0","74,13"
"1 juil. 2025 07:34:28 UTC","25016908932","Commande","405-0616930-3858739","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Noirmoutier En L Ile","","85330","","52,56","0","0","0","0","0","0","0","0","-9,36","0","-0,19","0","43,01"
"1 juil. 2025 15:37:58 UTC","25016908932","Commande","407-4781916-6946746","520204","ProPlus Poteau de Stationnement avec Serrure Poteau de Parking Privée avec 1 Cadenas et 3 Clés Durable Robuste Voiture Véhicule Extérieur","1","amazon.fr","Vendeur","ESSEY LES NANCY","","54270","","45,47","0","0","0","0","0","0","0","0","-7,15","0","-0,15","0","38,17"
"1 juil. 2025 22:47:17 UTC","25016908932","Commande","171-8780484-8087551","368300CT","Campout Tente Tunnel Gonflable - 455 x 270 cm - familiale 4 Personnes - Chambres obscures - Tubes en TPU - étanche - Ouvertures de Ventilation - 2 Ch","1","amazon.fr","Vendeur","St Trojan Les Bains","","17370","","369,00","0","0","0","0","0","0","0","0","-66,97","0","-1,34","0","300,69"
"1 juil. 2025 22:49:15 UTC","25016908932","Commande","171-7499737-1156320","520204","ProPlus Poteau de Stationnement avec Serrure Poteau de Parking Privée avec 1 Cadenas et 3 Clés Durable Robuste Voiture Véhicule Extérieur","1","amazon.fr","Vendeur","quincy voisins","","77860","","45,47","0","0","0","0","0","0","0","0","-7,15","0","-0,14","0","38,18"
"1 juil. 2025 23:28:33 UTC","25016908932","Commande","406-6800703-6134721","610686V02","Housse de pare-brise pour Fiat Ducato X290, blanc, gris, camping-car, protection UV (gris)","1","amazon.fr","Vendeur","Pulnoy","","54425","","71,85","0","0","0","0","0","0","0","0","-11,46","0","-0,23","0","60,16"
"2 juil. 2025 00:02:47 UTC","25016908932","Commande","406-0479115-7415545","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Saint Pierre Eglise","","50330","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
"2 juil. 2025 07:47:51 UTC","25016908932","Commande","404-0668320-0863541","520204","ProPlus Poteau de Stationnement avec Serrure Poteau de Parking Privée avec 1 Cadenas et 3 Clés Durable Robuste Voiture Véhicule Extérieur","1","amazon.fr","Vendeur","BRINDAS","","69126","","37,89","7,58","0","0","0","0","0","0","0","-7,15","0","-0,15","0","38,17"
"2 juil. 2025 08:07:16 UTC","25016908932","Commande","403-2793723-6664335","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","VENCE","","06140","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
"2 juil. 2025 18:07:32 UTC","25016908932","Commande","402-4265250-0282752","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","menton","paca","06500","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
