"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"2 sept 2025 5:35:31 UTC","25404332562","Tarifa de prestación de servicio","","","Gastos de publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-26,40","0","-26,40"
"5 sept 2025 11:38:11 UTC","25404332562","Pedido","404-5049691-5254726","WKTTB809RD","Tostadora Westinghouse Retro - 4 ranuras - Ranuras extra anchas - Rejilla para mantener el calor - 1750 W - Rojo","1","amazon.es","Amazon","PALMA DE MALLORCA","ISLAS BALEARES","07010","","80,12","16,83","0","0","0","0","0","0","0","-17,59","-8,76","-0,35","0","70,25"
"7 sept 2025 2:18:51 UTC","25404332562","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento de Logística de Amazon","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,14","-2,14"
"9 sept 2025 8:21:37 UTC","25491071532","Transferir","","","A la cuenta acabada en 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-159,02","-159,02"
"13 sept 2025 21:02:42 UTC","25491071532","Pedido","402-7173630-4427525","WKWKH148WH","Westinghouse Lighting WEKW1 - Hervidor de agua con indicador de temperatura y nivel de agua, con filtro de cal y protección contra sobrecalentamiento","1","amazon.es","Amazon","barcelona","","08017","","56,16","11,79","0","0","0","0","0","0","0","-12,33","-6,03","-0,24","0","49,35"
"16 sept 2025 18:04:33 UTC","25491071532","Pedido","408-0812359-2916328","WCCC0085L32MBB","Westinghouse Sartén honda para inducción - 32 cm - olla a fuego lento con tapa - Edición especial","1","amazon.es","Vendedor","Montaña Roja","Las Palmas","35580","","88,95","0","95,00","0","0","0","0","0","0","-33,39","0","-0,67","0","149,89"
"23 sept 2025 8:22:17 UTC","25573244492","Transferir","","","A la cuenta acabada en 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-199,24","-199,24"
"26 sept 2025 22:52:56 UTC","25573244492","Pedido","405-7945346-4694733","WKTTB809RD","Tostadora Westinghouse Retro - 4 ranuras - Ranuras extra anchas - Rejilla para mantener el calor - 1750 W - Rojo","1","amazon.es","Amazon","Quinta do Anjo","Palmela","","","80,12","18,43","1,22","0,28","0","0","-1,22","-0,28","0","-17,60","-8,76","-0,35","0","71,84"
"27 sept 2025 20:36:10 UTC","25573244492","Pedido","171-4719709-7097945","WKWKH148WH","Westinghouse Lighting WEKW1 - Hervidor de agua con indicador de temperatura y nivel de agua, con filtro de cal y protección contra sobrecalentamiento","1","amazon.es","Amazon","GIJON","ASTURIAS","33211","","56,16","11,79","0","0","0","0","0","0","0","-12,33","-6,02","-0,24","0","49,36"
"28 sept 2025 22:46:51 UTC","25573244492","Pedido","404-7611589-6664334","BLCSET2001BK","BE Living Delight Juego de sartenes 2 piezas - Sartenes de 24 y 28 cm - Revestimiento antiadherente cerámico - Apto para inducción - Sin PTFE ni PFO","1","amazon.es","Amazon","MADRID","MADRID","28041","","42,11","8,84","0","0","0","0","0","0","0","-9,24","0","-0,18","0","41,53"
