"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"7 août 2025 05:36:43 UTC","25224279152","Frais de stock Expédié par Amazon","","","Frais de stockage FBA","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,64","-2,64"
"7 août 2025 12:33:06 UTC","25224279152","Commande","403-1232454-0067512","COLS50025","Holland Animal Care Excellent Colstart Plus 10 x 25 grammes - Agneaux - Colostrum de Remplacement - Colustrum en Poudre pour agneaux","1","amazon.fr","Vendeur","Les Hauts De Chee","Hargeville Sur Chee","55000","","57,46","11,49","0","0","0","0","0","0","0","-12,51","0","-0,25","0","56,19"
"7 août 2025 14:31:04 UTC","25224279152","Commande","404-4262223-4771557","COME041","Dog Comets Star Chaser Jouet pour chien Interactif, Jeu pour chien - 9 vitesses jusqu'à 50 km/h - Télécommande jusqu'à 50 m - Stimule l'instinct d","1","amazon.fr","Vendeur","Thionville","","57100","","160,79","32,16","0","0","0","0","0","0","0","-35,01","0","-0,70","0","157,24"
"7 août 2025 20:15:01 UTC","25224279152","Commande","408-7489449-3584364","COWD000","Vache Drencher","1","amazon.fr","Vendeur","lessard en bresse","","71440","","171,62","34,33","0","0","0","0","0","0","0","-37,37","0","-0,75","0","167,83"
"8 août 2025 17:49:07 UTC","25224279152","Commande","407-4399590-9218704","HOOI018M06","Hay Slowfeeder Fun&Flex Ø 22 cm - Filet a Foin Chevaux - Slowfeeder Chevaux - Convient pour Les Animaux au pâturage - Contre la détérioration des","1","amazon.fr","Amazon","Ville en Sallaz","","74250","","24,00","4,80","0","0","0","0","0","0","0","-5,23","-8,27","-0,28","0","15,02"
"8 août 2025 20:20:56 UTC","25224279152","Commande","405-5566395-4656355","MAST0005","Kerbl KerbaTEST 15141 Test de lait 5 l","1","amazon.fr","Vendeur","Javerlhac Chapelle Robert","","24300","","37,46","7,49","0","0","0","0","0","0","0","-8,16","0","-0,16","0","36,63"
"8 août 2025 22:03:36 UTC","25224279152","Commande","405-9972532-1585126","VOER00002","Excellent Fournitures d'alimentation Seau De Stockage avec Couvercle Noir 40 litres","1","amazon.fr","Vendeur","Provins","","77160","","30,77","6,15","0","0","0","0","0","0","0","-6,70","0","-0,13","0","30,09"
"8 août 2025 22:19:50 UTC","25224279152","Remboursement","405-9972532-1585126","VOER00002","Excellent Fournitures d'alimentation Seau De Stockage avec Couvercle Noir 40 litres","1","amazon.fr","Vendeur","Provins","","77160","","-30,77","-6,15","0","0","0","0","0","0","0","5,36","0","0,13","0","-31,43"
"8 août 2025 23:09:42 UTC","25224279152","Commande","407-0604035-5572359","ROYA0051","Royal Dry Doggybag - Sac de séchage pour Chien en Microfibre - Taille S - Longueur de Dos 40 cm - Serviette pour Chien - Ultra Absorbant et à sécha","1","amazon.fr","Amazon","crest","","26400","","19,96","3,99","0","0","0","0","0","0","0","-4,35","-7,32","-0,24","0","12,04"
"8 août 2025 23:59:55 UTC","25224279152","Commande","405-0537887-6762737","ROYA0036","Royal Dry Peignoir pour Chien XL - Longueur de Dos 70-80 cm - Serviette pour Chien - Microfibre - Peignoir pour Grands Chiens - Séchage Rapide avec F","1","amazon.fr","Amazon","Villard sur Doron","","73270","","34,12","6,83","0","0","0","0","0","0","0","-7,43","-7,42","-0,29","0","25,81"
