"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal"
"5 aug 2025 12:53:33 UTC","25232792212","Bestelling","404-4693834-4264309","RBFD001350WS","Royal Belinda Automatische zeepdispenser - schuimdispenser No Touch met infrarood sensor - elektrische schuimdispenser met wandmontage - zeepdispenser","1","amazon.nl","Verkoper","ALMERE","FL","1363","29,71","0","0","0","6,24","0","-6,52","0","0","0","29,43"
"13 aug 2025 15:31:01 UTC","25321668372","Overboeking","","","Naar bankrekening die eindigt met: 326","","","","","","","0","0","0","0","0","0","0","0","0","-84,23","-84,23"
"19 aug 2025 15:56:37 UTC","25321668372","Bestelling","408-4579092-2524346","BLCPP01026GR","Be Living Essential Serie - Pannenkoekenpan - Ø 26 cm - keramiek - vaatwasmachinebestendig - PFAS-vrij - geschikt voor inductie - grijs","1","amazon.nl","Verkoper","Rotterdam","NL","3077","33,84","0","0","0","7,11","0","-7,43","0","0","0","33,52"
"19 aug 2025 22:13:43 UTC","25321668372","Bestelling","408-6527169-8481156","WKHBS270WH","Westinghouse Retro staafmixer, 4 snelheden, turbofunctie, 2 vleugelmessen, roestvrij staal, ergonomische handgreep, afneembare staaf, opbergtas, 600 w","1","amazon.nl","Verkoper","BALKBRUG","","7707","38,80","0","0","0","8,15","0","-8,52","0","0","0","38,43"
"20 aug 2025 22:13:35 UTC","25321668372","Bestelling","405-4439704-8211502","BLCSET2003BK","Be Living Delight Serie - 3-delige pannenset met wok en deksel - Antiaanbaklaag - Geschikt voor alle warmtebronnen","1","amazon.nl","Verkoper","Loenen","Gelderland","7371","69,38","0","0","0","14,57","0","-15,23","0","0","0","68,72"
"22 aug 2025 16:35:58 UTC","25321668372","Bestelling","406-7406253-4104339","WCCW0130032","Westinghouse Black Signature Wokpan met deksel, 32 cm, 3-laagse antiaanbaklaag, van aluminium en roestvrij staal, geschikt voor alle warmtebronnen, ef","1","amazon.nl","Verkoper","Hoogvliet","ZH","3194","41,28","0","0","0","8,67","0","-9,06","0","0","0","40,89"
"22 aug 2025 22:34:40 UTC","25321668372","Bestelling","402-3800186-5365158","BLCFP01024BK","BE Living Essential Koekenpan - Ø 24 cm met deksel - Keramische antiaanbaklaag - Geschikt voor inductie - Vrij van PTFE en PFOA - Zwart","1","amazon.nl","Amazon","Son en Breugel","","5691","30,54","0","0","0","6,41","0","-6,71","-6,53","0","0","23,71"
"27 aug 2025 15:32:41 UTC","25413133072","Overboeking","","","Naar bankrekening die eindigt met: 326","","","","","","","0","0","0","0","0","0","0","0","0","-205,27","-205,27"
"28 aug 2025 10:37:18 UTC","25413133072","Bestelling","408-2224874-8726768","WCCC0085L32MBB","Westinghouse Stoofpan inductie - 32 cm serveerpan - oliekop met deksel - speciale editie","1","amazon.nl","Verkoper","Eindhoven","Noord-Brabant","5625","53,68","0","0","0","11,27","0","-11,78","0","0","0","53,17"
