"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"6 set 2025 07:21:33 UTC","25403283632","Ordine","171-4546989-4640367","HOOI018M04","Holland Animal Care Slowfeeder per fieno Fun&Flex Ø 22 cm - Mangiatoia per cavalli - Adatto agli animali da pascolo - Rete per fieno per cavalli - Fi","1","amazon.it","Amazon","Pesaro","PU","61100","","23,73","5,22","0","0","0","0","0","0","0","-5,25","-14,80","-0,10","0","8,80"
"7 set 2025 07:35:23 UTC","25403283632","Costo di stoccaggio Logistica di Amazon","","","Tariffa di stoccaggio di Logistica di Amazon","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9 set 2025 07:22:11 UTC","25491133842","Trasferimento","","","Per il conto che termina con: 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-76,74","-76,74"
"9 set 2025 20:54:00 UTC","25491133842","Rimborso","408-8820849-7794745","HOOI018M04","Holland Animal Care Slowfeeder per fieno Fun&Flex Ø 22 cm - Mangiatoia per cavalli - Adatto agli animali da pascolo - Rete per fieno per cavalli - Fi","1","amazon.it","Amazon","Salerno","Salerno","84131","","-23,73","-5,22","0","0","0","0","0","0","0","4,20","0","0,11","0","-24,64"
"18 set 2025 18:05:28 UTC","25491133842","Ordine","405-1613360-2067517","HOOI018M04","Holland Animal Care Slowfeeder per fieno Fun&Flex Ø 22 cm - Mangiatoia per cavalli - Adatto agli animali da pascolo - Rete per fieno per cavalli - Fi","1","amazon.it","Amazon","Paderno Dugnano","-","20037","","23,73","5,22","0","0","0","0","0","0","0","-5,25","-14,80","-0,11","0","8,79"
"22 set 2025 12:47:18 UTC","25572435092","Saldo negativo","","","Cross-Account Debt Adjustment against DE","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","15,85","15,85"
