"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"04.08.2025 04:31:16 UTC","25223223062","Bestellung","302-2933189-2761923","T1-K","Hamilton by Yoop T1 Buggy - 360° drehbarer Sitz - MagicFoldTM Technologie - Zusammenklappbar - Inklusive Schutztasche und Becherhalter - Verstellbare","1","amazon.de","Verkäufer","Berlin","Deutschland","12277","","335,29","63,71","0","0","0","0","0","0","0","-72,42","0","0","0","326,58"
"06.08.2025 04:13:52 UTC","25223223062","Erstattung","302-2933189-2761923","T1-K","Hamilton by Yoop T1 Buggy - 360° drehbarer Sitz - MagicFoldTM Technologie - Zusammenklappbar - Inklusive Schutztasche und Becherhalter - Verstellbare","1","amazon.de","Verkäufer","Berlin","Deutschland","12277","","-335,29","-63,71","0","0","0","0","0","0","0","66,37","0","0","0","-332,63"
"16.08.2025 13:31:23 UTC","25312847972","Bestellung","028-5546184-6307538","S1P-B","Hamilton by Yoop S1 Plus Kinderwagen - Belastbar bis 22 kg - Leicht, verstellbar und wendig - Premium Buggy mit Einhand-Falttechnik - Schwarz","1","amazon.de","Verkäufer","Kelsterbach","","65451","","164,46","0","0","0","0","0","0","0","0","-36,12","0","0","0","128,34"
"26.08.2025 04:42:10 UTC","25402024272","Übertrag","","","Für Konten mit folgenden Endziffern: 007","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-122,29","-122,29"
